Market,Short-form video news weekly,"Region"
Kenya,94,Africa
Nigeria,92,Africa
Thailand,87,Asia-Pacific
Peru,85,Latin America
South Africa,82,Africa
India,81,Asia-Pacific
Turkey,81,Southern Europe
Morocco,80,Africa
Hong Kong,80,Asia-Pacific
Philippines,80,Asia-Pacific
Taiwan,78,Asia-Pacific
Indonesia,78,Asia-Pacific
Mexico,77,Latin America
Colombia,77,Latin America
Brazil,76,Latin America
South Korea,76,Asia-Pacific
Chile,75,Latin America
Malaysia,74,Asia-Pacific
Greece,71,Southern Europe
Romania,69,Eastern Europe
Croatia,66,Southern Europe
Argentina,66,Latin America
Bulgaria,66,Eastern Europe
Portugal,65,Southern Europe
Spain,64,Southern Europe
Italy,64,Southern Europe
Hungary,63,Eastern Europe
Ireland,61,Northern Europe
United States,60,North America
Slovakia,60,Eastern Europe
Singapore,59,Asia-Pacific
Norway,58,Northern Europe
Canada,57,North America
Sweden,57,Northern Europe
Poland,57,Eastern Europe
Netherlands,56,Western Europe
Czech Republic,55,Eastern Europe
Switzerland,55,Western Europe
Australia,54,Asia-Pacific
Finland,53,Northern Europe
Belgium,50,Western Europe
Austria,49,Western Europe
Germany,49,Western Europe
France,45,Western Europe
Denmark,44,Northern Europe
Japan,39,Asia-Pacific
United Kingdom,39,Northern Europe
